param_hidden_layer_sizes,mean_test_score,rank_test_score,mean_train_score
"(1,)",0.6069398589475317,14,0.6050225259834026
"(2,)",0.7574027873469438,11,0.7718542307804981
"(3,)",0.7651195014032011,6,0.7678630189623157
"(4,)",0.7507629297503533,13,0.7689769422835615
"(5,)",0.766028592312292,4,0.7675881551150908
"(6,)",0.7547172338130597,12,0.766519292453441
"(7,)",0.7630126270328997,9,0.7717212441605139
"(8,)",0.7596988361287147,10,0.7771597507099145
"(9,)",0.7637078141986751,8,0.772626720405057
"(10,)",0.767477867674611,2,0.7689126906270215
"(11,)",0.7678467741304738,1,0.7685425593422368
"(12,)",0.7656596858564291,5,0.7703308186778001
"(13,)",0.7642104104941103,7,0.7708848584117943
"(14,)",0.76656877676552,3,0.7704693286112987
